Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
221;144884;"WSEAS Transactions on Mathematics";journal;"11092769, 22242880";"World Scientific and Engineering Academy and Society";No;No;0,276;Q3;26;72;317;1890;345;317;0,83;26,25;31,58;0;Greece;Western Europe;"World Scientific and Engineering Academy and Society";"2005-2014, 2017-2026";"Algebra and Number Theory (Q3); Applied Mathematics (Q3); Computational Mathematics (Q3); Control and Optimization (Q3); Discrete Mathematics and Combinatorics (Q3); Management Science and Operations Research (Q3); Statistics and Probability (Q3); Endocrinology, Diabetes and Metabolism (Q4)";"Decision Sciences; Mathematics; Medicine"
222;19900193685;"International Journal of Knowledge-Based and Intelligent Engineering Systems";journal;"13272314, 18758827";"SAGE Publications Ltd";No;No;0,273;Q3;26;29;97;1678;167;97;1,95;57,86;29,58;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"2004-2025";"Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Software (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Computer Science; Decision Sciences; Engineering; Mathematics"
223;21100858348;"Croatian Operational Research Review";journal;"18480225, 18489931";"Croatian Operational Research Society";Yes;Yes;0,271;Q4;12;16;49;425;61;49;1,41;26,56;56,25;0;Croatia;Eastern Europe;"Croatian Operational Research Society";"2017-2026";"Applied Mathematics (Q3); Economics and Econometrics (Q3); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3); Statistics and Probability (Q4)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
224;21101339666;"Research in Statistics";journal;"27684520";"Taylor and Francis Ltd.";Yes;No;0,269;Q4;4;31;40;1058;59;39;1,48;34,13;23,94;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2023-2025";"Statistics, Probability and Uncertainty (Q3); Statistics and Probability (Q4)";"Decision Sciences; Mathematics"
225;21100890652;"British Actuarial Journal";journal;"13573217, 20440456";"Cambridge University Press";No;No;0,266;Q4;9;30;56;906;33;40;0,73;30,20;25,00;0;United Kingdom;Western Europe;"Cambridge University Press";"2018-2026";"Economics and Econometrics (Q3); Statistics, Probability and Uncertainty (Q3); Statistics and Probability (Q4)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
226;21100444451;"Austrian Journal of Statistics";journal;"27914852, 1026597X";"Austrian Statistical Society";Yes;Yes;0,265;Q4;17;42;111;1405;108;111;0,84;33,45;29,76;0;Austria;Western Europe;"Austrian Statistical Society";"2014-2026";"Applied Mathematics (Q3); Statistics, Probability and Uncertainty (Q3); Statistics and Probability (Q4)";"Decision Sciences; Mathematics"
227;21101021407;"Operations Research and Decisions";journal;"23916060, 20818858";"Wroclaw University of Science and Technology";Yes;Yes;0,261;Q4;9;24;116;932;180;116;1,75;38,83;31,25;0;Poland;Eastern Europe;"Wroclaw University of Science and Technology";"2019-2025";"Management of Technology and Innovation (Q3); Management Science and Operations Research (Q3); Modeling and Simulation (Q3); Statistics, Probability and Uncertainty (Q3); Statistics and Probability (Q4)";"Business, Management and Accounting; Decision Sciences; Mathematics"
228;21100211724;"Intelligent Decision Technologies";journal;"18724981, 18758843";"SAGE Publications Ltd";No;No;0,257;Q4;22;273;348;9705;573;340;1,76;35,55;41,22;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"1986, 2007-2026";"Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Software (Q3); Human-Computer Interaction (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Computer Science; Decision Sciences; Mathematics"
229;21100855735;"Communications for Statistical Applications and Methods";journal;"22877843, 23834757";"Korean Statistical Society";Yes;No;0,256;Q4;15;43;135;1139;119;135;1,10;26,49;30,49;0;South Korea;Asiatic Region;"Korean Statistical Society";"2015, 2017-2025";"Applied Mathematics (Q3); Finance (Q3); Modeling and Simulation (Q3); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
230;21100200410;"Mathematical Methods of Statistics";journal;"19348045, 10665307";"Pleiades Publishing";No;No;0,255;Q4;18;24;47;691;32;47;0,56;28,79;20,00;0;United States;Northern America;"Pleiades Publishing";"2007-2025";"Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Mathematics"
231;130128;"Journal of Mathematical Sciences (United States)";journal;"10723374, 15738795";"Springer";No;No;0,253;Q4;48;704;1773;15405;818;1754;0,49;21,88;28,71;0;United States;Northern America;"Springer";"1994-2026";"Applied Mathematics (Q3); Mathematics (miscellaneous) (Q3); Statistics and Probability (Q4)";"Mathematics"
232;21101300218;"Biometrical Letters";journal;"18963811, 2199577X";"";No;No;0,247;Q4;5;12;34;272;29;34;0,91;22,67;23,81;0;Germany;Western Europe;"";"2021-2025";"Agricultural and Biological Sciences (miscellaneous) (Q3); Applied Mathematics (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Mathematics (miscellaneous) (Q3); Statistics and Probability (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Mathematics"
233;21100916741;"Journal of Verification, Validation and Uncertainty Quantification";journal;"23772158, 23772166";"The American Society of Mechanical Engineers(ASME)";No;No;0,243;Q4;15;9;66;285;52;64;1,00;31,67;8,00;0;United States;Northern America;"The American Society of Mechanical Engineers(ASME)";"2016-2025";"Computational Theory and Mathematics (Q3); Modeling and Simulation (Q3); Computer Science Applications (Q4); Statistics and Probability (Q4)";"Computer Science; Mathematics"
234;21100199332;"Monte Carlo Methods and Applications";journal;"09299629, 15693961";"Walter de Gruyter GmbH";No;No;0,242;Q4;29;25;78;587;39;78;0,55;23,48;26,00;0;Germany;Western Europe;"Walter de Gruyter GmbH";"1995-2026";"Applied Mathematics (Q4); Statistics and Probability (Q4)";"Mathematics"
235;21101224444;"European Journal of Statistics";journal;"28060954";"Ada Academica";No;No;0,241;Q4;5;15;41;480;38;41;1,00;32,00;25,00;0;Estonia;Eastern Europe;"Ada Academica";"2021-2026";"Statistics and Probability (Q4)";"Mathematics"
236;21100367884;"Statistics and Risk Modeling";journal;"21931402, 21967040";"Walter de Gruyter GmbH";No;No;0,239;Q4;22;5;16;196;12;16;0,44;39,20;22,22;0;Germany;Western Europe;"Walter de Gruyter GmbH";"1982-2002, 2011-2026";"Modeling and Simulation (Q3); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Mathematics"
237;21100855990;"Journal of Dynamics and Games";journal;"21646074";"American Institute of Mathematical Sciences";No;No;0,231;Q4;15;29;73;895;59;73;0,89;30,86;32,76;0;United States;Northern America;"American Institute of Mathematical Sciences";"2014-2026";"Applied Mathematics (Q4); Modeling and Simulation (Q4); Statistics and Probability (Q4)";"Mathematics"
238;21100241760;"Markov Processes and Related Fields";journal;"10242953";"Polymat";No;No;0,230;Q4;12;9;71;163;25;71;0,32;18,11;35,71;0;Russian Federation;Eastern Europe;"Polymat";"2012-2025";"Applied Mathematics (Q4); Statistics and Probability (Q4)";"Mathematics"
239;19039;"Statistical Applications in Genetics and Molecular Biology";journal;"15446115, 21946302";"Walter de Gruyter GmbH";No;No;0,230;Q4;54;3;27;76;22;27;0,95;25,33;50,00;0;Germany;Western Europe;"Walter de Gruyter GmbH";"2002, 2004-2026";"Computational Mathematics (Q3); Genetics (Q4); Molecular Biology (Q4); Statistics and Probability (Q4)";"Biochemistry, Genetics and Molecular Biology; Mathematics"
240;19700175084;"Revista Colombiana de Estadistica";journal;"01201751, 23898976";"Universidad Nacional de Colombia";Yes;Yes;0,228;Q4;25;37;58;1025;55;53;1,19;27,70;22,35;0;Colombia;Latin America;"Universidad Nacional de Colombia";"2001-2026";"Statistics and Probability (Q4)";"Mathematics"
241;21100199320;"Random Operators and Stochastic Equations";journal;"09266364, 1569397X";"Walter de Gruyter GmbH";No;No;0,227;Q4;21;29;79;608;35;79;0,55;20,97;18,18;0;Germany;Western Europe;"Walter de Gruyter GmbH";"1993-2026";"Analysis (Q4); Statistics and Probability (Q4)";"Mathematics"
242;19700186871;"Transactions on Data Privacy";journal;"18885063, 20131631";"University of Skovde";Yes;Yes;0,227;Q4;31;7;22;278;24;22;1,27;39,71;15,79;0;Spain;Western Europe;"University of Skovde";"2009-2026";"Software (Q4); Statistics and Probability (Q4)";"Computer Science; Mathematics"
243;21101162998;"Journal of Classical Analysis";journal;"18485987";"Ele-Math";No;No;0,226;Q4;6;37;73;867;32;73;0,35;23,43;24,07;0;Croatia;Eastern Europe;"Ele-Math";"2019-2025";"Analysis (Q4); Statistics and Probability (Q4)";"Mathematics"
244;21101260633;"Uzbek Mathematical Journal";journal;"20107269";"Romanovsky Institute of Mathematics of the Academy of Sciences of the Republic of Uzbekistan";No;No;0,226;Q4;7;90;203;1963;75;203;0,34;21,81;26,35;0;Uzbekistan;Asiatic Region;"Romanovsky Institute of Mathematics of the Academy of Sciences of the Republic of Uzbekistan";"2020-2025";"Algebra and Number Theory (Q4); Analysis (Q4); Mathematical Physics (Q4); Statistics and Probability (Q4)";"Mathematics"
245;21101365990;"Communications in Mathematical Research";journal;"27078523, 16745647";"Global Science Press";No;No;0,225;Q4;6;21;72;506;29;67;0,27;24,10;29,55;0;Hong Kong;Asiatic Region;"Global Science Press";"2021-2025";"Applied Mathematics (Q4); Computational Mathematics (Q4); Statistics and Probability (Q4)";"Mathematics"
246;21101290572;"Data Science in Science";journal;"26941899";"Informa UK Ltd";Yes;No;0,222;Q4;4;24;30;864;29;29;0,96;36,00;29,17;0;United Kingdom;Western Europe;"Informa UK Ltd";"2022-2026";"Computational Mathematics (Q4); Statistics and Probability (Q4)";"Mathematics"
247;11500153507;"Pakistan Journal of Statistics";journal;"23103515, 10129367";"ISOSS PUBLICATIONS";Yes;No;0,220;Q4;25;19;78;431;52;77;0,58;22,68;20,59;0;Pakistan;Asiatic Region;"ISOSS PUBLICATIONS";"2008-2025";"Statistics and Probability (Q4)";"Mathematics"
248;21101093357;"Statistics, Politics and Policy";journal;"21517509, 21946299";"Walter de Gruyter GmbH";No;No;0,217;Q4;13;16;49;751;42;47;0,97;46,94;23,81;1;Germany;Western Europe;"Walter de Gruyter GmbH";"2010-2026";"Economics, Econometrics and Finance (miscellaneous) (Q3); Sociology and Political Science (Q3); Statistics and Probability (Q4)";"Economics, Econometrics and Finance; Mathematics; Social Sciences"
249;21100223159;"Investigacion Operacional";journal;"02574306, 22245405";"Universidad de La Habana";Yes;No;0,215;Q4;20;50;191;1156;69;189;0,32;23,12;28,70;0;Cuba;Latin America;"Universidad de La Habana";"2012-2026";"Applied Mathematics (Q4); Numerical Analysis (Q4); Statistics and Probability (Q4)";"Mathematics"
250;21100870373;"Turkish World Mathematical Society Journal of Applied and Engineering Mathematics";journal;"21461147, 25871013";"Isik University";Yes;No;0,215;Q4;16;170;412;4306;338;412;0,91;25,33;26,42;0;Turkey;Middle East;"Isik University";"2018-2026";"Control and Optimization (Q3); Applied Mathematics (Q4); Computational Mathematics (Q4); Discrete Mathematics and Combinatorics (Q4); Mathematical Physics (Q4); Numerical Analysis (Q4); Statistics and Probability (Q4)";"Mathematics"
251;21100886421;"Letters in Biomathematics";journal;"23737867";"";Yes;No;0,213;Q4;17;15;31;513;40;28;1,17;34,20;29,41;0;United States;Northern America;"";"2014-2026";"Applied Mathematics (Q4); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Statistics and Probability (Q4)";"Biochemistry, Genetics and Molecular Biology; Mathematics"
252;12008;"Teruleti Statisztika";journal;"20648251, 00187828";"Hungarian Central Statistical Office";No;No;0,212;Q4;15;40;85;1976;71;85;0,90;49,40;27,50;0;Hungary;Eastern Europe;"Hungarian Central Statistical Office";"1980, 1982-1983, 1985, 2016-2026";"Cultural Studies (Q2); Geography, Planning and Development (Q3); Economics and Econometrics (Q4); Public Administration (Q4); Statistics and Probability (Q4)";"Economics, Econometrics and Finance; Mathematics; Social Sciences"
253;21100216944;"Electronic Journal of Applied Statistical Analysis";journal;"20705948";"University of Salento";Yes;No;0,211;Q4;23;12;109;430;94;109;0,72;35,83;37,50;0;Italy;Western Europe;"University of Salento";"2008-2025";"Modeling and Simulation (Q4); Statistics and Probability (Q4)";"Mathematics"
254;21100407607;"Statistics in Transition New Series";journal;"24500291, 12347655";"Polskie Towarzystwo Semiotyczne";Yes;No;0,210;Q4;15;50;176;1572;126;159;0,62;31,44;34,44;0;Poland;Eastern Europe;"Polskie Towarzystwo Semiotyczne";"2015-2025";"Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Mathematics"
255;21100905277;"Mathematics and Statistics";journal;"23322071, 23322144";"Horizon Research Publishing";No;No;0,204;Q4;16;65;310;1449;198;310;0,57;22,29;36,67;0;United States;Northern America;"Horizon Research Publishing";"2018-2026";"Economics and Econometrics (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
256;21101196734;"Bulletin of the Taras Shevchenko National University of Kyiv. Physics and Mathematics";journal;"22182055, 18125409";"Taras Shevchenko National University of Kyiv";Yes;No;0,197;Q4;4;58;140;895;35;139;0,28;15,43;26,56;0;Ukraine;Eastern Europe;"Taras Shevchenko National University of Kyiv";"2019-2025";"Algebra and Number Theory (Q4); Mathematics (miscellaneous) (Q4); Statistics and Probability (Q4)";"Mathematics"
257;21101184778;"Brazilian Journal of Biometrics";journal;"27645290";"";Yes;Yes;0,196;Q4;7;46;89;1422;67;87;0,82;30,91;28,44;0;Brazil;Latin America;"";"2022-2026";"Agricultural and Biological Sciences (miscellaneous) (Q3); Applied Mathematics (Q4); Epidemiology (Q4); Public Health, Environmental and Occupational Health (Q4); Statistics and Probability (Q4)";"Agricultural and Biological Sciences; Mathematics; Medicine"
258;21100466423;"Global and Stochastic Analysis";journal;"22489444";"MUK Publications and Distribution";No;No;0,195;Q4;13;65;85;1128;70;85;0,66;17,35;35,16;0;India;Asiatic Region;"MUK Publications and Distribution";"2014-2026";"Discrete Mathematics and Combinatorics (Q4); Statistics and Probability (Q4)";"Mathematics"
259;20300195019;"Risk and Decision Analysis";journal;"18759173, 15697371";"SAGE Publications Ltd";No;No;0,192;Q4;12;8;7;378;9;7;1,29;47,25;55,56;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"2009-2014, 2016-2018, 2020-2021, 2023, 2025-2026";"Economics and Econometrics (Q4); Finance (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
260;21101296041;"Mathematics Open";journal;"28110072";"World Scientific";Yes;No;0,190;Q4;4;23;24;484;43;24;2,11;21,04;25,00;0;Singapore;Asiatic Region;"World Scientific";"2022-2026";"Algebra and Number Theory (Q4); Applied Mathematics (Q4); Numerical Analysis (Q4); Statistics and Probability (Q4)";"Mathematics"
261;21101274774;"AUT Journal of Mathematics and Computing";journal;"27832449, 27832287";"Amirkabir University of Technology";Yes;Yes;0,189;Q4;4;32;80;718;44;80;0,61;22,44;23,81;0;Iran;Middle East;"Amirkabir University of Technology";"2021-2026";"Applied Mathematics (Q4); Computational Mathematics (Q4); Computational Theory and Mathematics (Q4); Statistics and Probability (Q4)";"Computer Science; Mathematics"
262;21100898973;"Journal of Statistics Applications and Probability";journal;"20908423, 20908431";"Natural Sciences Publishing";No;No;0,189;Q4;19;62;338;2467;442;338;1,63;39,79;27,74;0;United States;Northern America;"Natural Sciences Publishing";"2018-2026";"Library and Information Sciences (Q3); Statistical and Nonlinear Physics (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Mathematics; Physics and Astronomy; Social Sciences"
263;21100238614;"Journal of Applied Probability and Statistics";journal;"19306792";"ISOSS PUBLICATIONS";No;No;0,188;Q4;11;11;46;288;15;46;0,24;26,18;32,26;0;Pakistan;Asiatic Region;"ISOSS PUBLICATIONS";"2012-2025";"Podiatry (Q3); Applied Mathematics (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Health Professions; Mathematics"
264;14054;"SORT";journal;"16962281, 20138830";"Institut d'Estadistica de Catalunya";Yes;Yes;0,187;Q4;28;9;25;353;33;25;1,60;39,22;46,15;0;Spain;Western Europe;"Institut d'Estadistica de Catalunya";"2003-2025";"Management Science and Operations Research (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Mathematics"
265;21101021861;"Zhurnal Belorusskogo Gosudarstvennogo Universiteta. Matematika. Informatika";journal;"25206508, 26173956";"The Belarusian State University";Yes;Yes;0,187;Q4;7;23;82;433;25;82;0,28;18,83;23,81;0;Belarus;Eastern Europe;"The Belarusian State University";"2017-2025";"Algebra and Number Theory (Q4); Computational Theory and Mathematics (Q4); Discrete Mathematics and Combinatorics (Q4); Statistics and Probability (Q4)";"Computer Science; Mathematics"
266;21100858129;"International Journal of Applied Metaheuristic Computing";journal;"19478283, 19478291";"IGI Global Publishing";No;No;0,186;Q4;11;4;14;196;15;14;0,50;49,00;33,33;0;United States;Northern America;"IGI Global Publishing";"2016, 2018-2025";"Computational Mathematics (Q4); Computational Theory and Mathematics (Q4); Computer Science Applications (Q4); Control and Optimization (Q4); Decision Sciences (miscellaneous) (Q4); Modeling and Simulation (Q4); Statistics and Probability (Q4)";"Computer Science; Decision Sciences; Mathematics"
267;100336;"Statistica";journal;"0390590X, 19732201";"University of Bologna";Yes;Yes;0,179;Q4;11;0;41;0;15;39;0,00;0,00;0,00;0;Italy;Western Europe;"University of Bologna";"1969, 1977, 1979-1990, 1994-1997, 2019-2024";"Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Mathematics"
268;7200153128;"Zeitschrift fur Evaluation";journal;"16195515";"Waxmann Verlag GmbH";No;No;0,176;Q4;8;33;68;677;17;39;0,33;20,52;45,71;0;Germany;Western Europe;"Waxmann Verlag GmbH";"2006-2013, 2015-2025";"Communication (Q3); Social Sciences (miscellaneous) (Q3); Applied Psychology (Q4); Education (Q4); Statistics and Probability (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Mathematics; Psychology; Social Sciences"
269;21100893243;"Journal of Risk Management in Financial Institutions";journal;"17528887, 17528895";"Henry Stewart Publications";No;No;0,173;Q4;10;28;103;1054;63;89;0,55;37,64;22,86;0;United Kingdom;Western Europe;"Henry Stewart Publications";"2018-2025";"Finance (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
270;21100890137;"International Journal of Business Continuity and Risk Management";journal;"17582164, 17582172";"Inderscience";No;No;0,171;Q4;10;21;61;1016;58;61;1,15;48,38;41,18;0;Switzerland;Western Europe;"Inderscience";"2016-2025";"Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences; Mathematics"
271;19900192611;"Probability and Mathematical Statistics";journal;"02084147";"Wydawnictwo Uniwersytetu Wroclawskiego Sp. z o.o.";Yes;No;0,169;Q4;14;6;45;175;8;45;0,18;29,17;9,09;0;Poland;Eastern Europe;"Wydawnictwo Uniwersytetu Wroclawskiego Sp. z o.o.";"2011-2025";"Statistics and Probability (Q4)";"Mathematics"
272;21100948959;"Communications in Statistics Case Studies Data Analysis and Applications";journal;"23737484";"Taylor and Francis Ltd.";Yes;No;0,167;Q4;12;26;81;916;61;81;0,48;35,23;23,81;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2026";"Analysis (Q4); Applied Mathematics (Q4); Statistics and Probability (Q4)";"Mathematics"
273;21101041818;"International Journal of Statistics in Medical Research";journal;"19296029";"Lifescience Global";No;No;0,165;Q4;6;83;100;2513;56;100;0,55;30,28;40,35;0;Canada;Northern America;"Lifescience Global";"2015, 2019-2026";"Health Professions (miscellaneous) (Q3); Health Informatics (Q4); Health Information Management (Q4); Statistics and Probability (Q4)";"Health Professions; Mathematics; Medicine"
274;12007;"Statisztikai Szemle";journal;"00390690";"Hungarian Central Statistical Office";No;No;0,161;Q4;6;38;131;1554;52;131;0,42;40,89;25,00;0;Hungary;Eastern Europe;"Hungarian Central Statistical Office";"1946, 1948, 1977-1999, 2019-2025";"Demography (Q3); Social Sciences (miscellaneous) (Q3); Applied Mathematics (Q4); Economics and Econometrics (Q4); Statistics and Probability (Q4)";"Economics, Econometrics and Finance; Mathematics; Social Sciences"
275;21101196038;"Jurnal Biometrika dan Kependudukan";journal;"25408828, 2302707X";"Airlangga University Faculty of Public Health";Yes;No;0,158;Q4;5;22;71;810;36;71;0,40;36,82;61,22;0;Indonesia;Asiatic Region;"Airlangga University Faculty of Public Health";"2019-2025";"Demography (Q4); Health Informatics (Q4); Reproductive Medicine (Q4); Statistics and Probability (Q4)";"Mathematics; Medicine; Social Sciences"
276;7100153149;"Model Assisted Statistics and Applications";journal;"15741699";"SAGE Publications Ltd";No;No;0,158;Q4;17;21;94;662;42;89;0,50;31,52;26,47;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"2005, 2007-2026";"Applied Mathematics (Q4); Modeling and Simulation (Q4); Statistics and Probability (Q4)";"Mathematics"
277;21101245219;"Statistics and Applications";journal;"24547395";"Society of Statistics, Computer and Applications";No;No;0,158;Q4;6;42;145;1012;49;142;0,33;24,10;30,86;0;India;Asiatic Region;"Society of Statistics, Computer and Applications";"2020-2025";"Statistics and Probability (Q4)";"Mathematics"
278;21100843362;"Stochastics and Quality Control";journal;"23672390, 23672404";"Walter de Gruyter GmbH";No;No;0,155;Q4;17;15;35;383;18;34;0,40;25,53;26,67;0;Germany;Western Europe;"Walter de Gruyter GmbH";"2001-2013, 2017-2026";"Applied Mathematics (Q4); Discrete Mathematics and Combinatorics (Q4); Safety, Risk, Reliability and Quality (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Engineering; Mathematics"
279;21101154818;"Neuro-Fuzzy Modeling Techniques in Economics";journal;"24153516, 23063289";"Vadym Hetman Kyiv National University of Economics";No;No;0,154;Q4;6;0;15;0;11;15;0,78;0,00;0,00;0;Ukraine;Eastern Europe;"Vadym Hetman Kyiv National University of Economics";"2019, 2021-2024";"Applied Mathematics (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Management Science and Operations Research (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
280;21100218072;"Metodoloski Zvezki";journal;"18540031, 18540023";"Univerza v Ljubljani";No;No;0,143;Q4;11;0;10;0;2;10;0,00;0,00;0,00;0;Slovenia;Eastern Europe;"Univerza v Ljubljani";"2011-2023";"Social Sciences (miscellaneous) (Q4); Statistics and Probability (Q4)";"Mathematics; Social Sciences"
281;21100200205;"Journal of the Iranian Statistical Society";journal;"17264057, 2538189X";"Iranian Statistical Society";Yes;No;0,141;Q4;12;0;59;0;17;59;0,09;0,00;0,00;0;Iran;Middle East;"Iranian Statistical Society";"2011-2024";"Statistics and Probability (Q4)";"Mathematics"
282;21101028600;"Statistica Applicata";journal;"11251964, 20385587";"ASA Associazione per la Statistica Applicata";No;No;0,137;Q4;5;0;105;0;28;102;0,20;0,00;0,00;0;Italy;Western Europe;"ASA Associazione per la Statistica Applicata";"2019-2024";"Applied Mathematics (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Mathematics"
283;21101042317;"Journal of Systems Science and Information";journal;"14789906, 25126660";"Science China Press";No;No;0,135;Q4;12;50;121;2090;45;121;0,32;41,80;43,28;0;China;Asiatic Region;"Science China Press";"2019-2026";"Applied Mathematics (Q4); Computer Networks and Communications (Q4); Control and Systems Engineering (Q4); Decision Sciences (miscellaneous) (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Statistics and Probability (Q4)";"Computer Science; Decision Sciences; Economics, Econometrics and Finance; Engineering; Mathematics"
284;14135;"South African Statistical Journal";journal;"0038271X, 19968450";"South African Statistical Association";No;No;0,133;Q4;12;5;18;148;7;18;0,58;29,60;36,36;0;South Africa;Africa;"South African Statistical Association";"1996-2025";"Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Mathematics"
285;4300151408;"Significance";journal;"17409713, 17409705";"Oxford University Press";No;No;0,129;Q4;31;53;199;187;55;97;0,15;3,53;33,33;1;United Kingdom;Western Europe;"Oxford University Press";"2004-2026";"Statistics and Probability (Q4)";"Mathematics"
286;21100851482;"Statistica e Applicazioni";journal;"18246672, 22836659";"Vita e Pensiero";No;No;0,128;Q4;12;0;6;0;1;4;0,00;0,00;0,00;0;Italy;Western Europe;"Vita e Pensiero";"2003-2022";"Statistical and Nonlinear Physics (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Mathematics; Physics and Astronomy"
287;21101048555;"Journal of Biostatistics and Epidemiology";journal;"23834196, 2383420X";"Tehran University of Medical Sciences";Yes;Yes;0,127;Q4;9;16;105;520;29;104;0,25;32,50;37,29;0;Iran;Middle East;"Tehran University of Medical Sciences";"2019-2025";"Epidemiology (Q4); Health Informatics (Q4); Public Health, Environmental and Occupational Health (Q4); Statistics and Probability (Q4)";"Mathematics; Medicine"
288;21101185542;"Asian Journal of Statistical Sciences";journal;"25829912";"ARF India";No;No;0,116;Q4;3;7;32;161;6;32;0,14;23,00;23,08;0;India;Asiatic Region;"ARF India";"2021-2025";"Statistics and Probability (Q4)";"Mathematics"
289;21100445641;"Philippine Statistician";journal;"20940343";"Philippine Statistical Association, Inc.";No;No;0,116;Q4;5;0;16;0;6;16;0,25;0,00;0,00;0;Philippines;Asiatic Region;"Philippine Statistical Association, Inc.";"2015-2023";"Statistics and Probability (Q4)";"Mathematics"
290;21100312404;"Theory of Stochastic Processes";journal;"03213900";"Institute of Mathematics, Ukrainian National Academy of Sciences";No;No;0,116;Q4;8;11;19;174;3;19;0,14;15,82;30,00;0;Ukraine;Eastern Europe;"Institute of Mathematics, Ukrainian National Academy of Sciences";"2011-2012, 2014-2020, 2022-2025";"Applied Mathematics (Q4); Modeling and Simulation (Q4); Statistics and Probability (Q4)";"Mathematics"
291;21101298833;"Far East Journal of Theoretical Statistics";journal;"09720863, 30487358";"Pushpa Publishing House";No;No;0,115;Q4;2;23;55;429;8;55;0,21;18,65;14,63;0;India;Asiatic Region;"Pushpa Publishing House";"2021-2025";"Applied Mathematics (Q4); Computational Mathematics (Q4); Economics and Econometrics (Q4); Statistics and Probability (Q4)";"Economics, Econometrics and Finance; Mathematics"
292;21100837464;"Central European Journal of Economic Modelling and Econometrics";journal;"2080119X, 20800886";"Polish Academy of Sciencies-Lodz Branch";Yes;Yes;0,114;Q4;8;5;42;209;15;42;0,26;41,80;45,45;0;Poland;Eastern Europe;"Polish Academy of Sciencies-Lodz Branch";"2017-2025";"Applied Mathematics (Q4); Economics and Econometrics (Q4); Statistics and Probability (Q4)";"Economics, Econometrics and Finance; Mathematics"
293;200147130;"Sankhya: The Indian Journal of Statistics";journal;"09727671";"Indian Statistical Institute";No;No;0,112;Q4;21;0;7;0;1;7;0,00;0,00;0,00;0;India;Asiatic Region;"Indian Statistical Institute";"2005-2022";"Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Mathematics"
